93821,78847,61682,115934,111121,141413,57017,49245,137246,65089,113197,222859,144142,119202,101169,105458,129908,449313,140228,83927,83537
94852,80327,61682,117208,111737,142911,57479,49297,137677,66811,114910,225308,144741,119799,101289,105879,130531,450767,141231,85282,84848
95883,81807,61682,118482,112353,144409,57942,49349,138108,68533,116623,227757,145340,120396,101409,106300,131154,452221,142234,86637,86159
96914,83287,61682,119756,112969,145898,58116,49401,138539,70255,118336,230206,145939,120993,101529,106721,131777,453675,143237,87992,87470
97945,84767,61682,121030,113585,146841,58290,49453,138970,71977,120049,232655,146538,121590,101645,107142,132400,455129,144240,89347,88781
98976,86247,61682,122304,114201,147784,58464,49505,139401,73699,121762,235104,147137,122187,103132,107564,133023,456583,145243,90702,90092
100007,87727,61682,123578,114817,148727,58638,49557,139832,75421,123475,237553,147736,122784,104619,107691,133646,458037,146246,92057,91403
101038,89207,61682,124852,115433,149670,58812,49609,140263,77143,125188,240002,148335,123383,106106,107818,134269,459491,147249,93412,92714
102069,90687,62684,126126,116049,150613,58986,49661,140696,78865,126901,242451,148934,123594,107593,107945,134892,460945,148436,94767,94025
103100,92167,63686,127400,116665,151556,59160,49714,146732,80587,128614,242440,149533,123805,109080,108072,135515,462399,151269,96122,95336
104131,93647,64688,128674,117278,152499,59334,51538,152768,82309,130327,243023,150149,124016,110567,108199,136138,463853,154102,97477,96647
105162,95127,65690,129948,117563,153442,59508,53362,158804,84031,132040,243606,152382,124227,112054,108326,136761,465307,156935,98832,97958
106193,96607,66692,131222,117848,154385,59682,55186,164838,85753,133753,244189,154615,124438,113541,108453,137384,466761,159768,100187,99269
107224,98087,67694,132496,118133,155328,59856,57010,166487,87475,135466,244772,156848,124649,115028,108582,138007,468215,162601,101542,100580
108255,99567,68696,133770,118418,156271,60030,58834,168136,89197,137179,245355,159081,124860,116515,108608,138639,469669,165434,102897,101891
109286,101047,69698,135044,118703,157214,60204,60658,169785,90919,138892,245938,161314,124763,118002,108634,141660,471123,168267,104252,103194
110317,102527,70700,136318,118988,157678,60378,62482,171434,92641,140605,246521,163547,124666,119489,108660,144681,472577,171100,105607,103467
111348,104007,71702,137592,119273,158142,60552,64306,173083,94363,142318,247104,165780,124569,120976,108686,147702,474031,141085,106962,103740
112379,105487,72704,138866,119558,158606,60726,66130,174732,96085,144031,247687,168013,124472,122463,108712,150723,475485,111070,108317,104013
113410,106967,73706,140140,119843,159070,60900,67954,176381,97807,145744,248270,170246,124375,123950,108738,153744,476951,81056,109672,104285
114441,108447,74708,141414,120128,159534,61074,69778,178030,99529,147457,248853,172479,124278,125437,108764,156765,480910,88531,111027,108039
115472,109927,75710,142688,120413,159998,61248,71602,179679,101251,149170,249436,174712,124182,126924,108790,159786,484869,96006,112382,111793
116503,111407,76712,143962,120698,160462,61422,73426,181328,102973,150883,250019,176945,124862,128411,108816,162807,488828,103481,113737,115547
117534,112887,77714,145236,120983,160926,61596,75250,182977,104695,152596,250602,179178,125542,129898,108842,165828,492787,110956,115092,119301
118565,114367,78716,146510,121268,161390,61770,77074,184626,106417,154309,251189,181411,126222,131385,108868,168849,496746,118431,116447,123055
119596,115847,79718,147784,121553,161854,61944,78901,186275,108139,156022,253006,183644,126902,132872,108894,171870,500704,125906,117802,126809
120627,117327,80720,149058,121838,162318,62118,80976,187924,109861,157735,254823,185877,127582,134359,108920,174891,430399,133381,119157,130563
121658,118807,81722,149086,122123,162782,62292,83051,189573,111583,159448,256640,188110,128259,135846,108946,177912,360094,140856,120512,134317
122689,120287,82724,149086,122408,163246,62466,85126,191222,113305,161161,258457,190343,128713,137333,108978,180933,289789,148331,121867,138071
123720,121767,83726,149086,122693,163710,62640,87201,192871,115027,162874,260274,192576,129167,138820,111267,183954,219484,155806,123222,141825
124751,123247,84728,149086,122978,164174,62814,89276,194520,116749,164587,262091,194809,129621,140307,113556,186975,149181,163281,124577,145579
125782,124727,85726,149086,123263,164638,62988,91351,196169,118471,166300,263908,197042,130075,141794,115845,189996,149649,170756,125932,149333
126813,126207,90857,149086,123548,165102,63162,93426,197818,120193,168013,265725,199275,130529,143281,118134,193017,150117,178231,127287,153087
127844,127687,95988,149086,123833,165566,63333,95501,199467,121915,169726,267542,201508,130983,144768,120423,196038,150585,185706,128642,156841
128875,129167,101119,150100,124118,166030,64968,97576,201116,123637,171439,269359,203741,131437,146255,122712,199059,151052,193181,129997,160595
129906,130647,106250,151114,124403,166494,66603,99651,202765,125359,173152,271176,205974,131891,147742,125001,202080,170668,200656,131352,164349
130937,132127,111381,152128,124684,166958,68238,101726,204414,127081,174865,272993,208207,132345,149229,127290,205101,160890,208131,132707,168103
131968,133607,116512,153142,126088,167422,69873,103801,206063,128803,176578,274810,210440,132799,150716,129583,208122,151112,215606,134062,171862
132999,135087,121643,154156,127492,167886,71510,105876,207712,130525,178291,276627,212673,133253,152203,131344,211143,141334,223081,135417,185272
134030,136567,126774,155170,128896,168350,73934,107951,209361,132247,180004,278444,214906,133707,153690,133105,214164,131556,230556,136772,198682
135061,138047,131905,156184,130300,168814,76358,110026,211010,133969,181717,280261,217139,134161,155177,134866,217185,121778,238031,138127,212092
136092,139527,137036,157198,131704,169278,78782,112101,212659,135691,183430,282078,219372,134615,156664,136627,220207,112000,245506,139482,225502
137123,141007,29286,158212,133108,169742,81206,114176,214308,137413,185143,283895,221605,135069,158151,138388,220185,112721,252981,140837,238912
138154,142487,39379,159226,134512,170206,83630,116251,215957,139135,186856,285712,223829,135523,159638,140149,220163,113442,260456,142192,252322
139185,143967,49472,160240,135916,170670,86054,118322,217606,140877,188583,287529,224551,135977,161125,141910,220141,114163,267931,143547,265732
140216,145447,59565,161254,137320,171134,88478,120170,219255,144872,190778,289346,225273,136431,162612,143671,220119,114884,275406,144902,279142
141247,150147,69658,162268,138724,171598,90902,122018,220904,148867,192973,291163,225995,136885,164099,145436,220097,115605,282881,146257,292552
142278,154847,79751,163282,140128,172062,93326,123866,222553,152861,195168,292980,226717,137339,165586,146796,220075,116326,290356,147612,305962
143309,159547,89844,164296,141532,172526,95750,125714,224202,154868,197363,294797,227439,137793,167073,148156,220053,117047,297831,148967,319372
144340,164247,99937,165310,142936,172990,98174,127562,225851,156875,199558,296614,228161,138247,168547,149516,220031,117768,305317,150322,332782
145371,168947,110030,166324,144341,173454,100598,129410,227500,158882,201753,298431,228883,138701,169869,150876,220009,118489,306389,151677,346192
146402,173647,120123,167338,145205,173918,103022,131258,229149,160889,203948,300235,229605,139155,171191,152236,219987,119210,307461,153032,359602
147433,178344,130216,168352,146069,174382,105446,133106,230798,162896,206143,318790,230327,139609,172513,153596,219965,119931,308533,154387,373012
148464,179140,140309,169366,146933,174846,107870,134954,232447,164903,208338,337345,231049,140063,173835,154956,219943,120652,309605,155742,386422
149495,179936,150402,170380,147797,175310,110294,136802,234096,166910,210533,355900,231771,140517,175157,156316,219921,121373,310677,157097,399832
150526,180732,160498,171394,148661,175774,112718,138650,235745,168917,212728,374455,232493,140971,176479,157676,219899,122094,311749,158452,413242
151557,181528,161644,172408,149525,176238,115142,140498,237394,170924,214923,393010,233215,141425,177801,159036,219877,122815,312821,159807,426652
152588,182324,162790,173422,150389,176702,117566,142346,239043,172931,217118,411565,233937,141879,179126,160401,219855,123536,313893,161162,440062
153619,183120,163936,174436,151253,177183,119990,144188,240692,174938,219313,430120,234659,142333,180519,163300,219833,124257,314965,162517,453472
154650,183915,165082,175450,152117,206340,122414,145072,242341,176945,221508,448676,235381,142787,181912,166199,219818,124978,316037,163872,466884
155681,185759,166228,176464,152981,235497,124834,145956,243990,178952,223703,456830,236103,143241,183305,169098,220924,125699,317109,165227,467252
156712,187603,167374,177478,153845,264654,125784,146840,245639,180959,225898,464984,236825,143695,184698,171997,222030,126420,318181,166582,467620
157743,189447,168520,178492,154709,293811,126734,147724,247288,182966,228093,473138,237547,144149,186091,174896,223136,127141,319256,167937,467988
158774,191291,169666,179506,155573,322968,127684,148608,248943,184973,230288,481292,238269,144603,187484,177795,224242,127862,327860,169292,468356
159805,193135,170812,180520,156437,352125,128634,149494,250060,186980,232483,489446,238991,145057,188877,180694,225348,128583,336464,170647,468724
160836,194979,171958,181534,157301,381282,129584,150879,251177,188987,234678,497600,239713,145511,190270,183593,226454,129304,345068,172002,469092
161867,196823,173104,182548,158165,410439,130534,152264,252294,190994,236873,505754,240435,145965,191663,186492,227560,130025,353672,173357,469460
162898,198667,174250,183562,159029,439596,131484,153649,253411,193001,239068,513908,241157,146419,193056,189391,228666,130746,362278,174712,469828
163929,200511,175396,184576,159893,468753,132434,155034,254528,195008,241263,522062,241870,146873,194449,192290,229772,131467,364132,176067,470195
164960,202355,176542,185590,160757,497910,133384,156419,255645,197015,243458,530216,255072,147342,195842,195189,230878,132188,365986,177422,471457
165991,204199,177688,186604,161621,527067,134335,157804,256762,199022,245653,538370,268274,147716,197235,198088,231987,132896,367840,178777,472719
167022,206043,178834,187618,162485,556224,137537,159189,257879,201019,247848,546524,281476,148090,198628,200987,233617,132940,369694,180132,473981
168053,207887,179980,188632,163349,585381,140739,160574,258996,201399,250043,554678,294678,148464,200021,203886,235247,132984,371548,181487,475243
169084,209731,181126,189646,164213,614538,143941,161959,260113,201779,252238,562832,307880,148838,201414,206785,236876,133028,373402,182842,476505
170115,211575,182272,190660,165077,643695,147143,163344,261230,202159,254433,570991,321082,149212,202807,209684,238976,133072,375256,184197,477767
